Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
2/8/2022 16:56:37,CCHS,Three to six years,No,Yes,No,Not often,No,Somewhat,Yes,Not that I am aware of,Never,Yes,I'm not sure,Yes,Somewhat Disagree
2/8/2022 17:03:31,CCHS,One to three years,I'm not sure,I'm not sure,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Neither agree nor disagree
2/8/2022 17:05:19,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/8/2022 17:06:16,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/8/2022 17:08:32,CCHS,One to three years,Yes,I'm not sure,I'm not sure,Often,,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
2/8/2022 17:16:03,CCHS,One to three years,I'm not sure,I'm not sure,I'm not sure,Not often,No,Somewhat,Yes,Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
2/8/2022 17:23:35,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 17:25:37,CCHS,Less than one year,Yes,Yes,I'm not sure,Yes,No,Not really,"No, but I'm willing to learn how to do this better",No,Never,No,I'm not sure,Yes,Neither agree nor disagree
2/8/2022 17:29:55,CCHS,Three to six years,I'm not sure,No,I'm not sure,Often,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/8/2022 17:47:30,CCHS,One to three years,No,I'm not sure,No,Not often,No,No,No,No,Never,No,I'm not sure,No,Strongly disagree
2/8/2022 17:48:29,CCHS,Less than one year,Yes,Yes,Yes,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Absolutely,Yes,I'm not sure,Yes,Strongly agree
2/8/2022 17:49:33,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/8/2022 17:55:36,CCHS,One to three years,No,No,No,No,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,No,No,Sort of,Somewhat Disagree
2/8/2022 17:56:39,CCHS,One to three years,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/8/2022 18:07:55,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/8/2022 18:10:19,CCHS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"No, but I'm willing to learn how to do this better",Yes,On occasion,Yes,Yes,Yes,Somewhat Disagree
2/8/2022 18:34:01,CCHS,One to three years,No,I'm not sure,Yes,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,No,Neither agree nor disagree
2/8/2022 18:36:31,CCHS,One to three years,Yes,No,Yes,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",No,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/8/2022 19:30:08,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat Disagree
2/8/2022 19:56:50,CCHS,Less than one year,I'm not sure,I'm not sure,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Neither agree nor disagree
2/8/2022 20:09:42,CCHS,One to three years,Yes,No,Yes,No,No,Not really,Yes,No,Rarely,No,Yes,No,Somewhat Disagree
2/8/2022 20:26:11,CCHS,Less than one year,Yes,Yes,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,Absolutely,No,I'm not sure,Yes,Somewhat agree
2/8/2022 20:42:22,CCHS,Less than one year,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Rarely,Yes,I'm not sure,Sort of,Somewhat agree
2/8/2022 20:46:10,CCHS,Less than one year,Yes,Yes,Yes,Often,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/8/2022 21:09:57,CCHS,Three to six years,No,No,I'm not sure,Yes,No,Somewhat,Yes,Yes,On occasion,Yes,I'm not sure,Yes,Strongly agree
2/9/2022 5:27:20,CCHS,One to three years,Yes,I'm not sure,Yes,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 5:42:14,CCHS,Three to six years,Yes,I'm not sure,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 5:50:15,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/9/2022 6:45:05,CCHS,Three to six years,I'm not sure,Yes,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat agree
2/9/2022 7:02:26,CCHS,One to three years,No,I'm not sure,Yes,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 7:06:24,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat Disagree
2/9/2022 7:10:20,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 7:39:52,CCHS,One to three years,Yes,Yes,Yes,,,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/9/2022 7:59:50,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 8:17:42,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/9/2022 8:19:32,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,,Yes,Yes,Yes,Strongly agree
2/9/2022 8:36:20,CCHS,One to three years,Yes,I'm not sure,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/9/2022 8:55:57,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Yes,Strongly agree
2/9/2022 9:06:42,CCHS,Less than one year,Yes,Yes,No,Often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
2/9/2022 9:08:54,CCHS,Three to six years,No,No,I'm not sure,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Neither agree nor disagree
2/9/2022 9:12:57,CCHS,One to three years,Yes,I'm not sure,Yes,Yes,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,No,Neither agree nor disagree
2/9/2022 9:13:47,CCHS,Less than one year,No,No,Yes,Often,No,No,"No, but I'm willing to learn how to do this better",Yes,On occasion,No,I'm not sure,Yes,Strongly disagree
2/9/2022 9:28:30,CCHS,One to three years,Yes,Yes,I'm not sure,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,No,Somewhat agree
2/9/2022 9:40:09,CCHS,Three to six years,No,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/9/2022 10:48:21,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/9/2022 11:22:25,CCHS,Less than one year,No,No,I'm not sure,Not often,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/9/2022 11:50:57,CCHS,Less than one year,No,No,No,No,No,No,No,No,Never,No,No,Sort of,Somewhat Disagree
2/9/2022 12:41:27,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/9/2022 12:48:22,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,Absolutely,No,I'm not sure,No,Somewhat agree
2/9/2022 12:49:22,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/9/2022 14:24:46,CCHS,One to three years,No,No,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/9/2022 14:47:29,CCHS,Less than one year,Yes,I'm not sure,No,No,No,No,No,No,Never,No,I'm not sure,Yes,Neither agree nor disagree
2/9/2022 15:02:07,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/9/2022 15:17:33,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/9/2022 16:46:00,CCHS,Three to six years,I'm not sure,No,No,No,No,No,Yes,No,Never,No,No,No,Strongly disagree
2/9/2022 19:53:46,CCHS,One to three years,No,Yes,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Somewhat agree
2/9/2022 20:16:59,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/10/2022 1:53:59,CCHS,Less than one year,No,No,No,No,No,No,No,No,Never,No,No,No,Strongly disagree
2/10/2022 6:14:35,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Not really,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/10/2022 6:37:12,CCHS,Three to six years,No,Yes,Yes,Yes,,Yes,,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/10/2022 11:58:15,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/10/2022 12:09:05,CCHS,Three to six years,Yes,I'm not sure,Yes,Not often,No,Not really,No,No,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/10/2022 13:26:51,CCHS,One to three years,Yes,Yes,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/10/2022 15:12:06,CCHS,Three to six years,Yes,Yes,Yes,Yes,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/10/2022 21:36:54,CCHS,One to three years,Yes,Yes,Yes,No,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/11/2022 7:16:17,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,Yes,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/11/2022 7:21:51,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/11/2022 13:30:34,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/11/2022 15:07:17,CCHS,Three to six years,No,No,Yes,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/11/2022 23:21:55,CCHS,One to three years,Yes,I'm not sure,Yes,Not often,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Yes,Neither agree nor disagree
2/12/2022 5:25:29,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/12/2022 8:13:27,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/12/2022 9:27:22,CCHS,One to three years,Yes,Yes,Yes,Yes,No,No,Yes,No,Rarely,No,No,Sort of,Somewhat Disagree
2/12/2022 11:49:02,CCHS,One to three years,No,I'm not sure,No,No,No,No,Yes,Not that I am aware of,Never,No,No,No,
2/12/2022 18:43:11,CCHS,Three to six years,Yes,Yes,I'm not sure,Often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,I'm not sure,Sort of,Somewhat agree
2/13/2022 15:13:40,CCHS,Less than one year,Yes,No,I'm not sure,Not often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/14/2022 14:30:34,CCHS,One to three years,I'm not sure,No,No,Often,No,Not really,No,Not that I am aware of,On occasion,No,No,Sort of,Somewhat Disagree
2/14/2022 14:32:00,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 15:18:25,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 15:22:13,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 15:26:43,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 15:28:51,CCHS,Three to six years,Yes,Yes,I'm not sure,Often,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/14/2022 15:32:16,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/14/2022 15:50:14,CCHS,One to three years,Yes,No,No,No,No,No,Yes,No,Never,No,Yes,Sort of,Somewhat Disagree
2/14/2022 16:14:40,CCHS,Less than one year,No,No,No,No,No,No,Yes,Not that I am aware of,Never,Yes,No,Sort of,Strongly disagree
2/14/2022 16:24:08,CCHS,Three to six years,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/14/2022 16:59:14,CCHS,Less than one year,Yes,Yes,Yes,Yes,No,No,Yes,No,Never,Yes,Yes,Sort of,Strongly disagree
2/14/2022 17:02:38,CCHS,One to three years,Yes,Yes,No,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Yes,On occasion,Yes,Yes,Sort of,Neither agree nor disagree
2/14/2022 17:03:03,CCHS,Less than one year,Yes,Yes,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Neither agree nor disagree
2/14/2022 17:06:34,CCHS,Less than one year,Yes,Yes,Yes,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/14/2022 17:52:29,CCHS,More than six years,No,No,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/14/2022 18:51:24,CCHS,Three to six years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/14/2022 18:53:01,CCHS,Less than one year,No,I'm not sure,No,Yes,Yes,Somewhat,Yes,Yes,On occasion,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/14/2022 19:18:10,CCHS,One to three years,No,No,I'm not sure,Not often,Yes,No,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Strongly disagree
2/14/2022 19:20:19,CCHS,One to three years,No,I'm not sure,I'm not sure,No,No,No,No,Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat Disagree
2/14/2022 19:56:07,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 20:00:13,CCHS,One to three years,Yes,Yes,Yes,Yes,,Somewhat,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/14/2022 20:04:18,CCHS,Three to six years,I'm not sure,I'm not sure,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat agree
2/14/2022 20:36:53,CCHS,Less than one year,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/14/2022 22:04:38,CCHS,Three to six years,I'm not sure,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/15/2022 0:16:06,CCHS,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 5:38:23,CCHS,More than six years,Yes,Yes,Yes,Often,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Strongly agree
2/15/2022 5:48:56,CCHS,One to three years,Yes,Yes,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/15/2022 6:12:12,CCHS,One to three years,Yes,Yes,No,Not often,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,Yes,I'm not sure,Sort of,Somewhat Disagree
2/15/2022 6:29:30,CCHS,One to three years,Yes,I'm not sure,I'm not sure,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/15/2022 6:58:10,CCHS,One to three years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
2/15/2022 7:04:01,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/15/2022 7:16:09,CCHS,One to three years,Yes,Yes,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/15/2022 7:22:12,CCHS,One to three years,Yes,Yes,Yes,No,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
2/15/2022 7:47:03,CCHS,Less than one year,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/15/2022 8:01:35,CCHS,Less than one year,No,No,No,No,No,No,Yes,No,On occasion,No,No,No,Strongly disagree
2/15/2022 8:17:21,CCHS,Less than one year,No,No,No,No,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,No,No,Strongly disagree
2/15/2022 8:34:03,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/15/2022 8:35:33,CCHS,Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Yes,Rarely,No,No,No,Somewhat agree
2/15/2022 8:57:33,CCHS,Three to six years,Yes,I'm not sure,I'm not sure,Not often,Yes,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat agree
2/15/2022 9:03:33,CCHS,One to three years,Yes,Yes,No,Yes,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat agree
2/15/2022 9:43:03,CCHS,Three to six years,Yes,Yes,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/15/2022 10:29:07,CCHS,Less than one year,No,I'm not sure,Yes,Often,Yes,Somewhat,No,Not that I am aware of,Never,Yes,Yes,No,Somewhat Disagree
2/15/2022 10:56:38,CCHS,One to three years,Yes,Yes,Yes,Often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/15/2022 11:44:53,CCHS,One to three years,No,I'm not sure,No,Not often,No,Somewhat,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,No,Strongly disagree
2/15/2022 12:42:04,CCHS,Less than one year,Yes,Yes,Yes,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/15/2022 12:42:37,CCHS,Three to six years,Yes,Yes,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Strongly agree
2/15/2022 16:18:16,CCHS,Three to six years,No,No,Yes,Often,No,No,Yes,No,On occasion,Yes,No,No,Strongly disagree
2/16/2022 4:40:29,CCHS,Three to six years,No,No,No,No,No,No,No,No,Never,No,No,No,Strongly disagree
2/16/2022 6:16:31,CCHS,One to three years,Yes,Yes,Yes,Often,No,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/16/2022 20:04:04,CCHS,More than six years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 14:26:08,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/17/2022 14:26:28,CCHS,Less than one year,Yes,Yes,Yes,Not often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Strongly agree
2/17/2022 14:26:42,CCHS,Less than one year,Yes,Yes,I'm not sure,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/17/2022 14:29:07,CCHS,One to three years,Yes,Yes,No,Yes,Yes,Somewhat,Yes,Yes,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 14:30:19,CCHS,One to three years,No,No,No,No,No,No,Yes,No,Never,No,No,No,Strongly disagree
2/17/2022 14:33:39,CCHS,One to three years,Yes,Yes,No,Yes,No,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 14:34:31,CCHS,Three to six years,Yes,Yes,I'm not sure,Yes,No,Not really,"No, but I'm willing to learn how to do this better",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/17/2022 14:35:37,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,No,Somewhat agree
2/17/2022 14:36:17,CCHS,One to three years,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,I'm not sure,Yes,Somewhat agree
2/17/2022 14:38:20,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,On occasion,No,I'm not sure,Sort of,Somewhat agree
2/17/2022 14:45:38,CCHS,Less than one year,I'm not sure,I'm not sure,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/17/2022 14:47:32,CCHS,Three to six years,Yes,Yes,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 14:52:06,CCHS,Less than one year,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Not that I am aware of,Never,No,I'm not sure,Sort of,Somewhat agree
2/17/2022 14:54:13,CCHS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,
2/17/2022 14:54:35,CCHS,Three to six years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 14:54:37,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/17/2022 15:31:19,CCHS,Less than one year,Yes,I'm not sure,I'm not sure,Not often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Neither agree nor disagree
2/17/2022 16:04:49,CCHS,Less than one year,No,No,No,No,No,No,No,No,Never,No,No,No,Strongly disagree
2/17/2022 16:22:46,CCHS,One to three years,Yes,Yes,Yes,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/17/2022 16:24:51,CCHS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/17/2022 16:29:09,CCHS,Less than one year,No,I'm not sure,,Often,No,Somewhat,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Somewhat agree
2/17/2022 16:43:49,CCHS,One to three years,Yes,No,I'm not sure,Not often,Yes,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Yes,Strongly agree
2/17/2022 17:01:53,CCHS,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 17:03:04,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 17:03:38,CCHS,Three to six years,Yes,Yes,Yes,Not often,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/17/2022 17:04:03,CCHS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,I'm not sure,Yes,Somewhat Disagree
2/17/2022 17:06:45,CCHS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Not really,Yes,Not that I am aware of,Never,No,I'm not sure,No,Somewhat Disagree
2/17/2022 17:10:22,CCHS,One to three years,Yes,Yes,No,Yes,No,Not really,Yes,Yes,On occasion,Yes,I'm not sure,Yes,Somewhat Disagree
2/17/2022 17:19:25,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,No,I'm not sure,Yes,Somewhat agree
2/17/2022 17:22:15,CCHS,One to three years,No,I'm not sure,No,Not often,No,No,No,Not that I am aware of,Rarely,Yes,No,Sort of,Strongly disagree
2/17/2022 17:23:16,CCHS,Less than one year,No,No,No,Not often,No,Not really,Yes,Not that I am aware of,Never,Yes,I'm not sure,Sort of,Strongly disagree
