Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
2/1/2022 21:07:47,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 22:31:29,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 23:03:09,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 6:00:42,Canon Exploratory School (CES),One to three years,Yes,Yes,I'm not sure,Not often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,No,No,Somewhat agree
2/2/2022 8:25:41,Canon Exploratory School (CES),More than six years,Yes,I'm not sure,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 8:39:59,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 9:41:18,Canon Exploratory School (CES),Three to six years,Yes,Yes,No,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/2/2022 9:46:45,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/2/2022 9:54:55,Canon Exploratory School (CES),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Rarely,Yes,Yes,Sort of,Somewhat agree
2/2/2022 10:07:55,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 10:24:20,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 11:20:39,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/2/2022 13:09:52,Canon Exploratory School (CES),Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/2/2022 15:58:54,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/2/2022 18:16:17,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/2/2022 20:14:34,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 9:41:23,Canon Exploratory School (CES),Less than one year,Yes,Yes,I'm not sure,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,Yes,I'm not sure,Yes,Somewhat agree
2/3/2022 11:26:54,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/4/2022 13:15:07,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/5/2022 20:29:47,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/5/2022 20:30:52,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/6/2022 10:27:01,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 8:38:37,Canon Exploratory School (CES),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/8/2022 16:27:51,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 18:47:33,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/11/2022 8:32:29,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
